group,team,played,won,drawn,lost,gf,ga,gd,points,position
A,Mexico,3,3,0,0,6,0,6,9,1
A,South Africa,3,1,1,1,2,3,-1,4,2
A,South Korea,3,1,0,2,2,3,-1,3,3
A,Czech Republic,3,0,1,2,2,6,-4,1,4
B,Switzerland,3,2,1,0,7,3,4,7,1
B,Canada,3,1,1,1,8,3,5,4,2
B,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,3
B,Qatar,3,0,1,2,2,10,-8,1,4
C,Brazil,3,2,1,0,7,1,6,7,1
C,Morocco,3,2,1,0,6,3,3,7,2
C,Scotland,3,1,0,2,1,4,-3,3,3
C,Haiti,3,0,0,3,2,8,-6,0,4
D,United States,3,2,0,1,8,4,4,6,1
D,Australia,3,1,1,1,2,2,0,4,2
D,Paraguay,3,1,1,1,2,4,-2,4,3
D,Turkey,3,1,0,2,3,5,-2,3,4
E,Germany,3,2,0,1,10,4,6,6,1
E,Ivory Coast,3,2,0,1,4,2,2,6,2
E,Ecuador,3,1,1,1,2,2,0,4,3
E,Curaçao,3,0,1,2,1,9,-8,1,4
F,Netherlands,3,2,1,0,10,4,6,7,1
F,Japan,3,1,2,0,7,3,4,5,2
F,Sweden,3,1,1,1,7,7,0,4,3
F,Tunisia,3,0,0,3,2,12,-10,0,4
G,Belgium,3,1,2,0,6,2,4,5,1
G,Egypt,3,1,2,0,5,3,2,5,2
G,Iran,3,0,3,0,3,3,0,3,3
G,New Zealand,3,0,1,2,4,10,-6,1,4
H,Spain,3,2,1,0,5,0,5,7,1
H,Cape Verde,3,0,3,0,2,2,0,3,2
H,Uruguay,3,0,2,1,3,4,-1,2,3
H,Saudi Arabia,3,0,2,1,1,5,-4,2,4
I,France,3,3,0,0,10,2,8,9,1
I,Norway,3,2,0,1,8,7,1,6,2
I,Senegal,3,1,0,2,8,6,2,3,3
I,Iraq,3,0,0,3,1,12,-11,0,4
J,Argentina,3,3,0,0,8,1,7,9,1
J,Austria,3,1,1,1,6,6,0,4,2
J,Algeria,3,1,1,1,5,7,-2,4,3
J,Jordan,3,0,0,3,3,8,-5,0,4
K,Colombia,3,2,1,0,4,1,3,7,1
K,Portugal,3,1,2,0,6,1,5,5,2
K,DR Congo,3,1,1,1,4,3,1,4,3
K,Uzbekistan,3,0,0,3,2,11,-9,0,4
L,England,3,2,1,0,6,2,4,7,1
L,Croatia,3,2,0,1,5,5,0,6,2
L,Ghana,3,1,1,1,2,2,0,4,3
L,Panama,3,0,0,3,0,4,-4,0,4
